ticker,cik,form,filed,report_date,accession,is_xbrl,is_inline_xbrl,document_url,index_url
ASTS,0001780312,S-1,2019-08-23,,0001213900-19-016623,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390019016623/fs12019_newprovidence.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390019016623/0001213900-19-016623-index.html
ASTS,0001780312,S-1/A,2019-09-06,,0001213900-19-017309,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390019017309/fs12019a1_newprovidence.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390019017309/0001213900-19-017309-index.html
ASTS,0001780312,424B4,2019-09-12,,0001213900-19-017878,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390019017878/f424b4091119_newprovidence.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390019017878/0001213900-19-017878-index.html
ASTS,0001780312,8-K,2019-09-16,2019-09-10,0001213900-19-018154,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390019018154/f8k091019_newprovidence.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390019018154/0001213900-19-018154-index.html
ASTS,0001780312,8-K,2019-09-19,2019-09-13,0001213900-19-018459,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390019018459/f8k091319_newprovidenceacqu.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390019018459/0001213900-19-018459-index.html
ASTS,0001780312,8-K,2019-10-30,2019-10-30,0001213900-19-021542,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390019021542/f8k103019_newprovidence.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390019021542/0001213900-19-021542-index.html
ASTS,0001780312,10-Q,2019-11-08,2019-09-30,0001213900-19-022562,1,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390019022562/f10q0919_newprovidence.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390019022562/0001213900-19-022562-index.html
ASTS,0001780312,10-K,2020-03-30,2019-12-31,0001213900-20-008037,1,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390020008037/f10k2019_newprovidence.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390020008037/0001213900-20-008037-index.html
ASTS,0001780312,10-Q,2020-05-14,2020-03-31,0001213900-20-012288,1,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390020012288/f10q0320_newprovidence.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390020012288/0001213900-20-012288-index.html
ASTS,0001780312,10-Q,2020-08-13,2020-06-30,0001213900-20-021916,1,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390020021916/f10q0620_newprovidenceacq.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390020021916/0001213900-20-021916-index.html
ASTS,0001780312,10-Q,2020-11-13,2020-09-30,0001213900-20-036663,1,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390020036663/f10q0920_newprovidenceacq.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390020036663/0001213900-20-036663-index.html
ASTS,0001780312,8-K,2020-12-16,2020-12-15,0001213900-20-042897,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390020042897/ea131629-8k_newprovidence.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390020042897/0001213900-20-042897-index.html
ASTS,0001780312,PREM14A,2020-12-23,2020-12-23,0001213900-20-044208,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390020044208/prem14a2020_newprovid.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390020044208/0001213900-20-044208-index.html
ASTS,0001780312,10-K,2021-03-01,2020-12-31,0001213900-21-012253,1,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390021012253/f10k2020_newprovidence.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390021012253/0001213900-21-012253-index.html
ASTS,0001780312,8-K,2021-03-12,2021-03-12,0001213900-21-015195,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390021015195/ea137607-8k_newprovidence.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390021015195/0001213900-21-015195-index.html
ASTS,0001780312,DEFM14A,2021-03-12,,0001213900-21-015188,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390021015188/defm14a_newprovacq.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390021015188/0001213900-21-015188-index.html
ASTS,0001780312,8-K,2021-03-26,2021-03-26,0001213900-21-017890,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390021017890/ea138455-8k_newprovidence.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390021017890/0001213900-21-017890-index.html
ASTS,0001780312,8-K,2021-04-01,2021-04-01,0001213900-21-019621,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000121390021019621/ea138837-8k_providenceacq.htm,https://www.sec.gov/Archives/edgar/data/1780312/000121390021019621/0001213900-21-019621-index.html
ASTS,0001780312,8-K,2021-04-12,2021-04-06,0001493152-21-008574,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221008574/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221008574/0001493152-21-008574-index.html
ASTS,0001780312,8-K/A,2021-04-23,2021-04-06,0001493152-21-009600,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221009600/form8-ka.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221009600/0001493152-21-009600-index.html
ASTS,0001780312,8-K,2021-04-23,2021-04-23,0001493152-21-009598,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221009598/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221009598/0001493152-21-009598-index.html
ASTS,0001780312,8-K,2021-04-30,2021-04-29,0001493152-21-010210,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221010210/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221010210/0001493152-21-010210-index.html
ASTS,0001780312,S-1,2021-05-06,,0001493152-21-010648,1,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221010648/forms-1.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221010648/0001493152-21-010648-index.html
ASTS,0001780312,8-K/A,2021-05-06,2021-04-06,0001493152-21-010634,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221010634/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221010634/0001493152-21-010634-index.html
ASTS,0001780312,10-K/A,2021-05-06,2020-12-31,0001493152-21-010599,1,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221010599/form10-ka.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221010599/0001493152-21-010599-index.html
ASTS,0001780312,S-1/A,2021-05-13,,0001493152-21-011179,1,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221011179/forms-1a.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221011179/0001493152-21-011179-index.html
ASTS,0001780312,424B3,2021-05-14,,0001493152-21-011558,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221011558/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221011558/0001493152-21-011558-index.html
ASTS,0001780312,424B3,2021-05-18,,0001493152-21-012090,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221012090/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221012090/0001493152-21-012090-index.html
ASTS,0001780312,424B3,2021-05-18,,0001493152-21-012088,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221012088/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221012088/0001493152-21-012088-index.html
ASTS,0001780312,8-K/A,2021-05-18,2021-04-06,0001493152-21-012086,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221012086/form8-ka.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221012086/0001493152-21-012086-index.html
ASTS,0001780312,10-Q,2021-05-18,2021-03-31,0001493152-21-012084,1,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221012084/form10-q.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221012084/0001493152-21-012084-index.html
ASTS,0001780312,S-1,2021-06-25,,0001493152-21-015289,1,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221015289/forms-1.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221015289/0001493152-21-015289-index.html
ASTS,0001780312,424B3,2021-07-02,,0001493152-21-016095,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221016095/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221016095/0001493152-21-016095-index.html
ASTS,0001780312,424B3,2021-07-09,,0001493152-21-016562,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221016562/form-424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221016562/0001493152-21-016562-index.html
ASTS,0001780312,424B3,2021-07-09,,0001493152-21-016561,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221016561/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221016561/0001493152-21-016561-index.html
ASTS,0001780312,8-K,2021-07-09,2021-07-06,0001493152-21-016560,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221016560/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221016560/0001493152-21-016560-index.html
ASTS,0001780312,424B3,2021-07-29,,0001493152-21-018043,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221018043/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221018043/0001493152-21-018043-index.html
