ticker,tranche,lockup_date,price_rows_before_lockup,window_rows,window_start,window_end,market_cap_rows,price_to_sales_rows,first_dei_shares_filed,eligible_dei_shares,latest_dei_shares_filed,latest_dei_shares_end,latest_dei_shares_value,reason
ASTS,1,2022-04-06,254,30,2022-02-23,2022-04-05,30,0,,0,,,,MARKET_CAP_PRESENT_IN_WINDOW
BABA,1,2024-12-18,2579,30,2024-11-05,2024-12-17,30,30,2015-06-25,11,2024-05-23,2024-03-31,19469126956,MARKET_CAP_PRESENT_IN_WINDOW
BABA,2,2015-03-18,123,30,2015-02-03,2015-03-17,0,0,2015-06-25,0,,,,NO_DEI_SHARES_FILED_BY_WINDOW_END
BABA,3,2014-12-18,63,30,2014-11-05,2014-12-17,0,0,2015-06-25,0,,,,NO_DEI_SHARES_FILED_BY_WINDOW_END
META,1,2012-08-16,62,30,2012-07-05,2012-08-15,0,0,,0,,,,NO_USABLE_DEI_SHARES
META,2,2012-10-15,103,30,2012-08-31,2012-10-12,0,0,,0,,,,NO_USABLE_DEI_SHARES
META,3,2012-11-14,123,30,2012-10-01,2012-11-13,0,0,,0,,,,NO_USABLE_DEI_SHARES
META,4,2012-12-14,144,30,2012-11-01,2012-12-13,0,0,,0,,,,NO_USABLE_DEI_SHARES
META,5,2013-05-18,250,30,2013-04-08,2013-05-17,0,0,,0,,,,NO_USABLE_DEI_SHARES
RKLB,1,2022-02-18,123,30,2022-01-06,2022-02-17,30,0,2021-11-15,1,2021-11-15,2021-11-09,449204556,MARKET_CAP_PRESENT_IN_WINDOW
SPCX,1,,,,,,,,,,,,,INVALID_LOCKUP_DATE
SPCX,2,2026-08-20,47,30,2026-07-09,2026-08-19,30,12,,0,,,,MARKET_CAP_PRESENT_IN_WINDOW
SPCX,3,2026-09-09,60,30,2026-07-28,2026-09-08,30,25,,0,,,,MARKET_CAP_PRESENT_IN_WINDOW
SPCX,4,2026-09-10,61,30,2026-07-29,2026-09-09,30,26,,0,,,,MARKET_CAP_PRESENT_IN_WINDOW
