ticker,taxonomy,concept,category,unit,start,end,filed,value,form,accession,duration_days,existing_extractor,rejection_reasons
ASTS,us-gaap,CostOfRevenue,revenue_candidate_VERIFY_scope_and_currency,USD,2020-01-01,2020-06-30,2021-08-16,1801000,10-Q,0001493152-21-020153,182,False,
ASTS,us-gaap,CostOfRevenue,revenue_candidate_VERIFY_scope_and_currency,USD,2020-04-01,2020-06-30,2021-08-16,772000,10-Q,0001493152-21-020153,91,False,
ASTS,us-gaap,CostOfRevenue,revenue_candidate_VERIFY_scope_and_currency,USD,2020-01-01,2020-09-30,2021-11-15,2634000,10-Q,0001493152-21-028642,274,False,
ASTS,us-gaap,CostOfRevenue,revenue_candidate_VERIFY_scope_and_currency,USD,2020-07-01,2020-09-30,2021-11-15,833000,10-Q,0001493152-21-028642,92,False,
ASTS,us-gaap,CostOfRevenue,revenue_candidate_VERIFY_scope_and_currency,USD,2020-01-01,2020-12-31,2022-03-31,3025000,10-K,0000950170-22-005212,366,False,
ASTS,us-gaap,CostOfRevenue,revenue_candidate_VERIFY_scope_and_currency,USD,2021-01-01,2021-03-31,2022-05-16,896000,10-Q,0000950170-22-010115,90,False,
ASTS,us-gaap,CostOfRevenue,revenue_candidate_VERIFY_scope_and_currency,USD,2021-01-01,2021-06-30,2021-08-16,2019000,10-Q,0001493152-21-020153,181,False,
ASTS,us-gaap,CostOfRevenue,revenue_candidate_VERIFY_scope_and_currency,USD,2021-01-01,2021-06-30,2022-08-16,2019000,10-Q,0000950170-22-017458,181,False,
ASTS,us-gaap,CostOfRevenue,revenue_candidate_VERIFY_scope_and_currency,USD,2021-04-01,2021-06-30,2021-08-16,1112000,10-Q,0001493152-21-020153,91,False,
ASTS,us-gaap,CostOfRevenue,revenue_candidate_VERIFY_scope_and_currency,USD,2021-04-01,2021-06-30,2022-08-16,1112000,10-Q,0000950170-22-017458,91,False,
ASTS,us-gaap,CostOfRevenue,revenue_candidate_VERIFY_scope_and_currency,USD,2021-01-01,2021-09-30,2021-11-15,4122000,10-Q,0001493152-21-028642,273,False,
