ticker,company_name,ipo_date,ipo_price,tranche,lockup_date,shares_unlocked,public_float_before_unlock
RKLB,Rocket Lab,2021-08-25,10.00,1,2022-02-18,400,78.7
ASTS,AST SpaceMobile,2021-04-06,10.00,1,2022-04-06,23,28.1
2222,Saudi Aramco,2019-11-12,8.53,1,2020-11-12,196000,3450
BABA,Alibaba,2014-09-19,68,1,2024-12-18,8.1,368.1
BABA,Alibaba,2014-09-19,68,2,2015-03-18,437,376.2
BABA,Alibaba,2014-09-19,68,3,2014-12-18,1600,813.2
META,META (Facebook),2012-05-18,38,1,2012-08-16,271.1,421.2
META,META (Facebook),2012-05-18,38,2,2012-10-15,243.4,692.3
META,META (Facebook),2012-05-18,38,3,2012-11-14,777.0,935.7
META,META (Facebook),2012-05-18,38,4,2012-12-14,149.4,1712.7
META,META (Facebook),2012-05-18,38,5,2013-05-18,47.3,1862.2
